id;character;meaning;on;kun
868;寿;Lifespan;じゅ, す;ことぶき
869;講;Lecture;こう;None
870;湖;Lake;こ;みずうみ
871;介;Jammed In;かい;None
872;紹;Introduce;しょう;None
873;彼;He;ひ;かれ, かの
874;炎;Flame;えん;ほのお
875;酔;Drunk;すい;よ
876;舎;Cottage;しゃ;None
877;銅;Copper;どう;あかがね
878;杉;Cedar;None;すぎ
879;彫;Carve;ちょう;ほ
880;噌;Boisterous;そ;None
881;熊;Bear;None;くま
882;拝;Worship;はい;おが
883;勤;Work;きん;つと
884;縦;Vertical;じゅう;たて
885;貴;Valuable;き;とうと
886;吐;Throw Up;と;は, つ
887;痩;Thin;そう;や
888;粋;Stylish;すい;いき
889;隷;Slave;れい;None
890;縮;Shrink;しゅく;ちぢ, ちじ
891;射;Shoot;しゃ;い, さ, う
892;沿;Run Alongside;えん;そ
893;腐;Rot;ふ;くさ
894;丼;Rice Bowl;どん;どんぶり
895;薦;Recommend;せん;すす
896;純;Pure;じゅん;None
897;芋;Potato;None;いも
898;源;Origin;げん;みなもと
899;誤;Mistake;ご;あやま
900;磁;Magnet;じ;None
901;損;Loss;そん;そこ
902;臓;Internal Organs;ぞう;None
903;推;Infer;すい;お
904;聖;Holy;せい;None
905;奴;Dude;ど;やつ
906;降;Descend;こう;お, ふ
907;歓;Delight;かん;None
908;紅;Deep Red;こう;べに, くれない
909;幕;Curtain;まく, ばく;とばり
910;承;Consent;しょう;うけたまわ
911;爪;Claw;そう;つま, つめ
912;刻;Carve;こく;きざ
913;揮;Brandish;き;None
914;枝;Branch;し;えだ
915;豆;Beans;とう;まめ
916;窓;Window;そう;まど
917;諸;Various;しょ;もろ
918;納;Supply;のう;おさ, なっ
919;糖;Sugar;とう;None
920;蔵;Storehouse;ぞう;くら
921;蒸;Steam;じょう;む
922;簡;Simplicity;かん;None
923;砂;Sand;さ;すな
924;噂;Rumor;そん;うわさ
925;熟;Ripen;じゅく;う
926;尊;Revered;そん;とうと, たっと
927;敬;Respect;けい;うやま
928;賃;Rent;ちん;None
929;宣;Proclaim;せん;のたま
930;盛;Pile;せい, じょう;も, さか
931;否;No;ひ;いな, いや
932;筋;Muscle;きん;すじ
933;操;Manipulate;そう;あやつ, みさお
934;誌;Magazine;し;None
935;肺;Lung;はい;None
936;忠;Loyalty;ちゅう;None
937;暮;Livelihood;ぼ;く
938;拡;Extend;かく;ひろ
939;皇;Emperor;こう;None
940;異;Differ;い;こと
941;漠;Desert;ばく;None
942;垂;Dangle;すい;た
943;閉;Closed;へい;し, と
944;裏;Backside;り;うら
945;著;Author;ちょ;いちじる, あらわ
946;装;Attire;そう, しょう;よそお
947;灰;Ashes;かい;はい
948;傷;Wound;しょう;きず, いた
949;迎;Welcome;げい;むか
950;暖;Warm;だん;あたた
951;欲;Want;よく;ほ
952;訳;Translation;やく;わけ
953;捨;Throw Away;しゃ;す
954;厳;Strict;げん, ごん;きび, おごそ
955;秘;Secret;ひ;ひ
956;密;Secrecy;みつ;ひそ
957;桜;Sakura;おう, よう;さくら
958;雑;Random;ざつ, ぞう;None
959;序;Preface;じょ;つい, ついで
960;党;Party;とう;None
961;久;Long Time;きゅう, く;ひさ
962;恩;Kindness;おん;None
963;興;Interest;きょう, こう;None
964;志;Intention;し;こころざし
965;採;Gather;さい;と
966;液;Fluid;えき;None
967;眼;Eyeball;がん;め
968;績;Exploits;せき;None
969;永;Eternity;えい;None
970;卵;Egg;らん;たまご
971;染;Dye;せん;しみ, そ, し
972;複;Duplicate;ふく;None
973;飼;Domesticate;し;か
974;汚;Dirty;お;よご, きたな, けが
975;机;Desk;き;つくえ
976;衛;Defense;えい;None
977;込;Crowded;None;こ
978;銭;Coin;せん;ぜに
979;祖;Ancestor;そ;None
980;賛;Agree;さん;None
981;酸;Acid;さん;す
982;倉;Warehouse;そう;くら
983;徳;Virtue;とく;None
984;脈;Vein;みゃく;None
985;菜;Vegetable;さい;な
986;掃;Sweep;そう;は
987;驚;Surprised;きょう;おどろ
988;偵;Spy;てい;None
989;嘆;Sigh;たん;なげ
990;華;Showy;か;はな
991;散;Scatter;さん;ち
992;富;Rich;ふ;と, とみ
993;似;Resemble;ね, じ;に
994;救;Rescue;きゅう;すく
995;既;Previously;き;すで
996;粉;Powder;ふん;こな, こ
997;棒;Pole;ぼう;None
998;普;Normal;ふ;None
999;巣;Nest;そう;す
1000;泥;Mud;でい;どろ
1001;鑑;Model;かん;None
1002;豪;Luxurious;ごう;None
1003;探;Look For;たん;さが, さぐ
1004;陸;Land;りく;None
1005;編;Knit;へん;あ
1006;尋;Inquire;じん;たず, ひろ
1007;幾;How Many;き;いく
1008;墓;Grave;ぼ;はか
1009;孫;Grandchild;そん;まご
1010;貨;Freight;か;None
1011;除;Exclude;じょ, じ;のぞ
1012;均;Equal;きん;ひと
1013;融;Dissolve;ゆう;None
1014;径;Diameter;けい;None
1015;離;Detach;り;はな
1016;廊;Corridor;ろう;None
1017;帯;Belt;たい;おび
1018;搬;Transport;はん;None
1019;墳;Tomb;ふん;None
1020;峰;Summit;ほう;みね
1021;奮;Stirred Up;ふん;ふる
1022;軌;Rut;き;None
1023;壮;Robust;そう;None
1024;訂;Revise;てい;None
1025;亭;Restaurant;てい;None
1026;簿;Record Book;ぼ;None
1027;漫;Manga;まん;None
1028;仰;Look Up To;ぎょう, こう;あお
1029;銘;Inscription;めい;None
1030;涯;Horizon;がい;はて
1031;鬱;Gloom;うつ;None
1032;翻;Flip;ほん;ひるがえ
1033;疫;Epidemic;えき;None
1034;后;Empress;こう, ご;きさき
1035;堤;Embankment;てい;つつみ
1036;淀;Eddy;None;よど
1037;漂;Drift;ひょう;ただよ
1038;堰;Dam;えん;せき
1039;晶;Crystal;しょう;None
1040;蟹;Crab;None;かに
1041;廷;Courts;てい;None
1042;諮;Consult;し;はか
1043;彰;Clear;しょう;None
1044;唐;China;とう;None
1045;伯;Chief;はく, お;None
1046;洞;Cave;どう;ほら
1047;駄;Burdensome;だ, た;None
1048;把;Bundle;は, わ;None
1049;鰐;Alligator;None;わに
1050;巧;Adept;こう;うま, たく
1051;偶;Accidentally;ぐう;たま
1052;潤;Watered;じゅん;うるお, うる
1053;俗;Vulgar;ぞく;None
1054;誓;Vow;せい;ちか
1055;征;Subjugate;せい;None
1056;剛;Sturdy;ごう;None
1057;唯;Solely;ゆい;ただ
1058;紫;Purple;し;むらさき
1059;刈;Prune;None;か
1060;妃;Princess;ひ;None
1061;陶;Pottery;とう;None
1062;壇;Podium;だん;None
1063;抽;Pluck;ちゅう;None
1064;珠;Pearl;しゅ;たま
1065;尼;Nun;に;あま
1066;桑;Mulberry;そう;くわ
1067;隔;Isolate;かく;へだ
1068;勘;Intuition;かん;None
1069;劣;Inferiority;れつ;おと
1070;浸;Immersed;しん;ひた
1071;陛;Highness;へい;None
1072;礎;Foundation;そ;いしずえ
1073;淡;Faint;たん;あわ
1074;奨;Encourage;しょう;None
1075;衰;Decline;すい;おとろ
1076;拓;Cultivation;たく;None
1077;鶴;Crane;かく;つる
1078;謀;Conspire;ぼう;はか
1079;慌;Confused;こう;あわ
1080;悟;Comprehension;ご;さと
1081;駒;Chess Piece;く;こま
1082;覆;Capsize;ふく;おお, くつがえ
1083;煮;Boil;しゃ;に
1084;拘;Arrest;こう;かか
1085;概;Approximation;がい;おおむ
1086;脅;Threaten;きょう;おど, おびや
1087;迅;Swift;じん;None
1088;餓;Starve;が;う
1089;飢;Starve;き;う
1090;班;Squad;はん;None
1091;蛇;Snake;じゃ;へび
1092;盾;Shield;じゅん;たて
1093;耐;Resistant;たい;た
1094;悔;Regret;かい;くや, く
1095;憶;Recollection;おく;None
1096;輝;Radiance;き;かがや
1097;貼;Paste;ちょう;は
1098;塗;Paint;と;ぬ
1099;帳;Notebook;ちょう;とばり
1100;蚊;Mosquito;None;か
1101;溶;Melt;よう;と
1102;畜;Livestock;ちく;None
1103;灯;Lamp;とう;あかり, とも
1104;辱;Humiliate;じょく;はずかし
1105;騎;Horse;き;None
1106;麻;Hemp;ま;あさ
1107;穫;Harvest;かく;None
1108;霜;Frost;None;しも
1109;尽;Exhaust;じん;つ
1110;斜;Diagonal;しゃ;なな
1111;闇;Darkness;あん, おん;やみ
1112;踊;Dance;よう;おど
1113;培;Cultivate;ばい;つちか
1114;隙;Crevice;げき;すき
1115;彩;Coloring;さい;いろど
1116;賢;Clever;けん;かしこ
1117;鉢;Bowl;はち;None
1118;咲;Blossom;しょう;さ
1119;殴;Assault;おう;なぐ
1120;脇;Armpit;きょう;わき
1121;蓄;Amass;ちく;たくわ
1122;遂;Accomplish;すい;と, つい
1123;柳;Willow;りゅう;やなぎ
1124;芯;Wick;しん;None
1125;巾;Towel;きん;None
1126;胴;Torso;どう;None
1127;畳;Tatami Mat;じょう;たたみ
1128;粘;Sticky;ねん;ねば
1129;砕;Smash;さい;くだ
1130;尺;Shaku;しゃく;None
1131;憩;Rest;けい;いこ
1132;爽;Refreshing;そう;さわ
1133;虹;Rainbow;こう;にじ
1134;哀;Pathetic;あい;あわ
1135;婆;Old Woman;ば;ばあ
1136;掌;Manipulate;しょう;てのひら
1137;唇;Lips;しん;くちびる
1138;如;Likeness;じょ;ごと
1139;詐;Lie;さ;いつわ
1140;伊;Italy;い;だ
1141;挿;Insert;そう;さ
1142;佐;Help;さ;None
1143;憎;Hate;ぞう;にく
1144;帽;Hat;ぼう;None
1145;恨;Grudge;こん;うら
1146;扉;Front Door;ひ;とびら
1147;扇;Folding Fan;せん;おうぎ, あお
1148;霧;Fog;む;きり
1149;塀;Fence;へい;None
1150;滴;Drip;てき;したた, しずく
1151;欺;Deceit;ぎ;あざむ
1152;墜;Crash;つい;None
1153;粧;Cosmetics;しょう;None
1154;炊;Cook;すい;た
1155;崖;Cliff;がい;がけ
1156;瞭;Clear;りょう;None
1157;箸;Chopsticks;ちゃく;はし
1158;幣;Cash;へい;None
1159;零;Zero;れい;こぼ
1160;歳;Years Old;さい, せい;None
1161;阻;Thwart;そ;はば
1162;錬;Tempering;れん;ね
1163;租;Tariff;そ;None
1164;帝;Sovereign;てい;みかど
1165;斬;Slice;ざん;き
1166;黙;Shut Up;もく;だま
1167;架;Shelf;か;か
1168;幽;Secluded;ゆう;None
1169;俵;Sack;ひょう;たわら
1170;寧;Rather;ねい;むし
1171;瞳;Pupil;とう, どう;ひとみ
1172;誇;Pride;こ;ほこ
1173;棟;Pillar;とう;None
1174;猿;Monkey;えん;さる
1175;庄;Manor;しょう;None
1176;盆;Lantern Festival;ぼん;None
1177;鍵;Key;けん;かぎ
1178;吾;I;ご;わが
1179;穂;Head of Plant;すい;ほ
1180;癖;Habit;へき;くせ
1181;碁;Go;ご;None
1182;鍛;Forge;たん;きた
1183;鈍;Dull;どん;にぶ, のろ
1184;鳩;Dove;く;はと
1185;寮;Dormitory;りょう;None
1186;魔;Devil;ま;None
1187;綿;Cotton;めん;わた
1188;涼;Cool;りょう;すず
1189;菊;Chrysanthemum;きく;None
1190;椅;Chair;い;None
1191;孔;Cavity;こう;あな
1192;穏;Calm;おん;おだ
1193;泡;Bubbles;ほう;あわ
1194;瞬;Blink;しゅん;またた
1195;墨;Black Ink;None;すみ
1196;井;Well;しょう;い
1197;滝;Waterfall;None;たき
1198;凶;Villain;きょう;None
1199;卓;Table;たく;None
1200;硬;Stiff;こう;かた
1201;眺;Stare;ちょう;なが
1202;矛;Spear;む;ほこ
1203;魂;Soul;こん;たましい
1204;肌;Skin;き;はだ
1205;陰;Shade;いん;かげ
1206;磨;Polish;ま;みが
1207;裸;Naked;ら;はだか
1208;嬢;Miss;じょう;むすめ
1209;狂;Lunatic;きょう;くる
1210;塊;Lump;かい;かたまり
1211;澄;Lucidity;ちょう;す
1212;脚;Leg;きゃく;あし
1213;狩;Hunt;しゅ;か
1214;溝;Gutter;こう;みぞ
1215;霊;Ghost;れい, りょう;None
1216;賭;Gamble;None;か
1217;翔;Fly;しょう;かけ, と
1218;疲;Exhausted;ひ;つか
1219;稼;Earnings;か;かせ
1220;湿;Damp;しつ;しめ
1221;呪;Curse;じゅ;のろ
1222;塾;Cram School;じゅく;None
1223;也;Considerably;や;なり
1224;曇;Cloudy;None;くも
1225;暦;Calendar;れき;こよみ
1226;嫁;Bride;か;よめ, とつ
1227;舟;Boat;しゅう;ふね, ふな
1228;鐘;Bell;しょう;かね
1229;菌;Bacteria;きん;None
1230;頃;Approximate;None;ころ, ごろ
1231;翼;Wing;よく;つばさ
1232;朱;Vermillion;しゅ;あけ
1233;塔;Tower;とう;None
1234;雷;Thunder;らい;かみなり
1235;涙;Teardrop;るい;なみだ
1236;嵐;Storm;None;あらし
1237;芽;Sprout;が;め
1238;辛;Spicy;しん;から, つら
1239;匹;Small Animal;None;ひき
1240;叫;Shout;きょう;さけ
1241;棚;Shelf;ほう;たな
1242;叱;Scold;None;しか
1243;侍;Samurai;None;さむらい
1244;謎;Riddle;None;なぞ
1245;娯;Recreation;ご;None
1246;挨;Push Open;あい;None
1247;姫;Princess;None;ひめ
1248;梨;Pear;None;なし
1249;桃;Peach;とう;もも
1250;寸;Measurement;すん;None
1251;斗;Ladle;と;None
1252;俺;I;None;おれ
1253;丘;Hill;きゅう;おか
1254;髪;Hair;はつ;かみ
1255;粒;Grains;りゅう;つぶ
1256;吉;Good Luck;きつ, きち;よし
1257;釣;Fishing;ちょう;つ
1258;忍;Endure;にん;しの
1259;縁;Edge;えん, ねん;ふち
1260;拶;Draw Close;さつ;None
1261;竜;Dragon;りゅう;たつ
1262;笠;Conical Hat;None;かさ
1263;砲;Cannon;ほう;None
1264;缶;Can;かん;None
1265;刃;Blade;じん, にん;は
1266;誰;Who;None;だれ
1267;貢;Tribute;こう;みつ
1268;潮;Tide;ちょう;しお
1269;裂;Split;れつ;さ
1270;撲;Slap;ぼく;None
1271;沈;Sink;ちん;しず
1272;斉;Simultaneous;せい, さい;None
1273;封;Seal;ふう, ほう;None
1274;珍;Rare;ちん;めずら
1275;刷;Printing;さつ;す
1276;旨;Point;し;うま, むね
1277;岳;Peak;がく;たけ
1278;泰;Peace;たい;None
1279;牧;Pasture;ぼく;まき
1280;滋;Nourishing;じ;None
1281;威;Majesty;い;None
1282;即;Instant;そく;すなわ
1283;垣;Hedge;None;かき
1284;琴;Harp;None;こと
1285;擦;Grate;さつ;こす, す
1286;趣;Gist;しゅ;おもむき
1287;柔;Gentle;じゅう, にゅう;やわ
1288;炉;Furnace;ろ;いろり
1289;露;Expose;ろ, ろう;つゆ
1290;籍;Enroll;せき;None
1291;距;Distance;きょ;None
1292;滅;Destroy;めつ;ほろ
1293;筒;Cylinder;とう;つつ
1294;懇;Courteous;こん;None
1295;慰;Consolation;い;なぐさ
1296;懲;Chastise;ちょう;こ
1297;摩;Chafe;ま;さす
1298;朗;Bright;ろう;ほが
1299;沼;Bog;しょう;ぬま
1300;襲;Attack;しゅう;おそ
1301;荒;Wild;こう;あ, あら
1302;糾;Twist;きゅう;None
1303;暫;Temporarily;ざん;しばら
1304;堅;Solid;けん;かた
1305;滑;Slippery;かつ;すべ, なめ
1306;揺;Shake;よう;ゆ
1307;袋;Sack;たい;ふくろ
1308;斎;Purification;さい;いつ
1309;哲;Philosophy;てつ;None
1310;柄;Pattern;へい;がら
1311;双;Pair;そう;ふた
1312;泊;Overnight;はく;と
1313;克;Overcome;こく;None
1314;網;Netting;もう;あみ
1315;喪;Mourning;そう;も
1316;肝;Liver;かん;きも
1317;芝;Lawn;し;しば
1318;潟;Lagoon;せき;かた
1319;揚;Hoist;よう;あ
1320;枢;Hinge;すう;からくり
1321;握;Grip;あく;にぎ
1322;床;Floor;しょう;ゆか, とこ
1323;括;Fasten;かつ;くく
1324;範;Example;はん;None
1325;紛;Distract;ふん;まぎ, まぐ
1326;掘;Dig;くつ;ほ
1327;焦;Char;しょう;こ, あせ
1328;挑;Challenge;ちょう;いど
1329;綱;Cable;こう;つな
1330;軸;Axis;じく;None
1331;到;Arrival;とう;None
1332;弧;Arc;こ;None
1333;析;Analysis;せき;None
1334;包;Wrap;ほう;つつ, くる
1335;樹;Wood;じゅ;き
1336;撤;Withdrawal;てつ;None
1337;艦;Warship;かん;None
1338;虎;Tiger;こ;とら
1339;誠;Sincerity;せい;まこと
1340;措;Set Aside;そ;None
1341;酎;Sake;ちゅう, ちゅ;かも
1342;墟;Ruins;きょ;None
1343;瀬;Rapids;らい;せ
1344;徹;Penetrate;てつ;None
1345;伺;Pay Respects;し;うかが
1346;鉱;Mineral;こう;あらがね
1347;嘘;Lie;None;うそ
1348;侵;Invade;しん;おか
1349;遜;Humble;そん;したが
1350;仁;Humanity;じん;None
1351;蜜;Honey;みつ;None
1352;郷;Hometown;きょう;None
1353;拳;Fist;けん, げん;こぶし
1354;蛍;Firefly;けい;ほたる
1355;畑;Field;None;はたけ, はた
1356;偽;Fake;ぎ;にせ, いつわ
1357;潜;Conceal;せん;くぐ, ひそ, もぐ
1358;衣;Clothes;い, え;ころも, きぬ
1359;炭;Charcoal;たん;すみ
1360;儀;Ceremony;ぎ;None
1361;蜂;Bee;ほう;はち
1362;拠;Based On;きょ;よ
1363;至;Attain;し;いた
1364;凄;Amazing;せい;すご
1365;棄;Abandon;き;None
1366;寡;Widow;か;None
1367;湧;Well;ゆう, ゆ, よう;わ
1368;渓;Valley;けい;たに, たにがわ
1369;醜;Ugly;しゅう;しこ, みにく
1370;拷;Torture;ごう;None
1371;倹;Thrifty;けん;つづまやか, つま
1372;畔;Shore;はん;あぜ, くろ, ほとり
1373;唄;Shamisen Song;ばい;うた
1374;泌;Secrete;ひ, ひつ;None
1375;藻;Seaweed;そう;も
1376;妄;Reckless;もう, ぼう;みだ
1377;罷;Quit;ひ;や
1378;坑;Pit;こう;None
1379;殉;Martyr;じゅん;None
1380;桟;Jetty;さん, せん;かけはし
1381;藍;Indigo;らん;あい
1382;謹;Humble;きん;つつし
1383;匿;Hide;とく;かくま
1384;婿;Groom;せい;むこ
1385;升;Grid;しょう;ます
1386;漸;Gradually;ぜん;ようや, やや
1387;狐;Fox;こ;きつね
1388;逝;Die;せい;い, ゆ
1389;痢;Diarrhea;り;None
1390;囚;Criminal;しゅう;とら
1391;矯;Correct;きょう;た
1392;某;Certain;ぼう;それがし, なにがし
1393;劾;Censure;がい;None
1394;廉;Bargain;れん;None
1395;蛮;Barbarian;ばん;えびす
1396;煩;Annoy;はん, ぼん;うるさ, わずら
1397;崇;Worship;すう;あが
1398;梓;Wood Block;し;あずさ
1399;浪;Wander;ろう;None
1400;甚;Very;じん;はなは
1401;叔;Uncle;しゅく;None
1402;遷;Transition;せん;うつ, みやこがえ
1403;紡;Spinning;ぼう;つむ
1404;汰;Select;た, たい;おご, にご, よな
1405;蔑;Scorn;べつ;さげす
1406;沙;Sand;さ, しゃ;すな, よなげる
1407;峠;Ridge;None;とうげ
1408;礁;Reef;しょう;None
1409;吟;Recital;ぎん;None
1410;曹;Official;そう, ぞう;つかさ, ともがら, へや
1411;忌;Mourning;き;い
1412;姻;Marry;いん;None
1413;卑;Lowly;ひ;いや
1414;憧;Long For;しょう, とう, どう;あこが
1415;閑;Leisure;かん;None
1416;漆;Lacquer;しつ;うるし
1417;擬;Imitate;ぎ;まが, もど
1418;胆;Guts;たん;きも
1419;睦;Friendly;ぼく, もく;むつ
1420;雌;Female;し;めす, め, めん
1421;禍;Evil;か;わざわい
1422;堪;Endure;かん, たん;た, こた, こ
1423;侮;Despise;ぶ;あなず, あなど
1424;篤;Deliberate;とく;あつ
1425;酪;Dairy;らく;None
1426;慶;Congratulate;けい;よろこ
1427;詠;Compose;えい;よ, うた
1428;拙;Clumsy;せつ;つたな
1429;鋳;Cast;ちゅう;い
1430;岬;Cape;こう;みさき
1431;屯;Barracks;とん;None
1432;亜;Asia;あ;つ
1433;硫;Sulfur;りゅう;None
1434;窃;Steal;せつ;ぬす, ひそ
1435;絹;Silk;けん;きぬ
1436;慨;Sigh;がい;None
1437;酌;Serve;しゃく;く
1438;菅;Sedge;かん, けん;すげ
1439;帆;Sail;はん;ほ
1440;奔;Run;ほん;はし
1441;朽;Rot;きゅう;く
1442;漣;Ripples;れん, らん;さざなみ
1443;憤;Resent;ふん;いきどお
1444;肖;Resemblance;しょう;あやか
1445;嘱;Request;しょく;しょく, たの
1446;享;Receive;きょう, こう;う
1447;戯;Play;ぎ, げ;ざ, じゃ, たわむ
1448;赦;Pardon;しゃ;None
1449;椎;Oak;つい, すい;う, つち
1450;濁;Muddy;だく, じょく;にご
1451;媒;Mediator;ばい;なこうど
1452;錠;Lock;じょう;None
1453;殻;Husk;かく, こく, ばい;から, がら
1454;傑;Greatness;けつ;すぐ
1455;淑;Graceful;しゅく;しと
1456;璃;Glassy;り;None
1457;譜;Genealogy;ふ;None
1458;藩;Fiefdom;はん;None
1459;凌;Endure;りょう;しの
1460;剖;Divide;ぼう;None
1461;暁;Dawn;きょう, ぎょう;あかつき, さと
1462;瑞;Congratulations;すい, ずい;みず, しるし
1463;鶏;Chicken;けい;とり, にわとり
1464;迭;Alternate;てつ;None
1465;扶;Aid;ふ;たす
1466;陪;Accompany;ばい;None
1467;胎;Womb;たい;None
1468;遍;Universal;へん;あまね
1469;坪;Two Mat Area;へい;つぼ
1470;槽;Tank;そう;ふね
1471;萌;Sprout;ほう;きざ, めばえ, も
1472;羅;Spread Out;ら;うすもの
1473;喝;Scold;かつ;None
1474;俸;Salary;ほう;None
1475;旋;Rotation;せん;None
1476;賊;Robber;ぞく;None
1477;峡;Ravine;きょう, こう;はざま
1478;哉;Question Mark;さい;や, かな
1479;漬;Pickle;し;つ
1480;蒼;Pale;そう;あお
1481;紺;Navy;こん;None
1482;膜;Membrane;まく;None
1483;楓;Maple;ふう;かえで
1484;乙;Latter;おつ, いつ;おと, きのと
1485;瑠;Lapis Lazuli;る, りゅう;None
1486;腸;Intestines;ちょう;はらわた
1487;遮;Intercept;しゃ;さえぎ
1488;閲;Inspection;えつ;けみ
1489;酵;Fermentation;こう;None
1490;伐;Fell;ばつ;う, き, そむ
1491;衡;Equilibrium;こう;None
1492;鼓;Drum;こ;つづみ
1493;堕;Degenerate;だ;お, くず
1494;敢;Daring;かん;あ
1495;烏;Crow;うお;からす
1496;凸;Convex;とつ;でこ
1497;弔;Condolence;ちょう;とぶら, とむら
1498;凹;Concave;おう;くぼ, へこ, ぼこ
1499;醸;Brew;じょう;かも
1500;盲;Blind;もう;めくら
1501;款;Article;かん;None
1502;智;Wisdom;ち;None
1503;碑;Tombstone;ひ;いしぶみ
1504;窒;Suffocate;ちつ;None
1505;猶;Still;ゆう, ゆ;なお
1506;搾;Squeeze;さく;しぼ
1507;舶;Ship;はく;None
1508;縫;Sew;ほう;ぬ
1509;恭;Respect;きょう;うやうや
1510;靖;Peaceful;じょう, せい;やす
1511;尉;Military Officer;い, じょう;None
1512;凡;Mediocre;ぼん, はん;おうよ, およ, すべ
1513;陵;Mausoleum;りょう;みささぎ
1514;宰;Manager;さい;None
1515;寂;Lonely;じゃく, せき;さび, さみ
1516;摂;In Addition;せつ, しょう;おさ, かね, と
1517;穀;Grain;こく;None
1518;呉;Give;ご;くれ, く
1519;紳;Gentleman;しん;None
1520;洪;Flood;こう;None
1521;遥;Far Off;よう;はる
1522;弊;Evil;へい;None
1523;嘉;Esteem;か;よい, よみ
1524;窮;Destitute;きゅう, きょう;きわ
1525;悦;Delight;えつ;よろこ
1526;轄;Control;かつ;くさび
1527;錯;Confused;さく, しゃく;None
1528;庸;Common;よう;None
1529;凛;Cold;りん;きびし
1530;弦;Chord;げん;つる
1531;蝶;Butterfly;ちょう;None
1532;柴;Brushwood;さい, し;しば
1533;飽;Bored;ほう;あ
1534;縛;Bind;ばく;しば
1535;拍;Beat;はく, ひょう;None
1536;匠;Artisan;しょう;たくみ
1537;那;What;な, だ;いかん, なに, なんぞ
1538;賓;VIP;ひん;None
1539;尿;Urine;にょう;None
1540;鎮;Tranquilize;ちん;おさえ, しず
1541;之;This;し;これ, の
1542;該;The Above;がい;None
1543;脊;Stature;せき;せ, せい
1544;朴;Simple;ぼく;えのき, ほう, ほお
1545;憾;Remorse;かん;うら
1546;昌;Prosperous;しょう;さかん
1547;赴;Proceed;ふ;おもむ
1548;愉;Pleasant;ゆ;たの
1549;傍;Nearby;ぼう;かたわ, わき, おか, はた, そば
1550;髄;Marrow;ずい;None
1551;弥;Increasing;び, み;や
1552;龍;Imperial;りゅう, りょう, ろう;たつ
1553;栃;Horse Chestnut;None;とち
1554;癒;Healing;ゆ;い, いや
1555;悼;Grieve;とう;いた
1556;憂;Grief;ゆう;う, うれ
1557;惜;Frugal;せき;お
1558;佳;Excellent;か;None
1559;抹;Erase;まつ;None
1560;郭;Enclosure;かく;くるわ
1561;遼;Distant;りょう;None
1562;奉;Dedicate;ほう, ぶ;たてまつ, まつ, ほう
1563;旦;Dawn;たん, だん;あきら, あき, あさ, あした, ただし
1564;瑛;Crystal;えい;None
1565;栓;Cork;せん;None
1566;凝;Congeal;ぎょう;こ, こご
1567;粗;Coarse;そ;あら
1568;循;Circulation;じゅん;None
1569;虜;Captive;りょ, ろ;とりく, とりこ
1570;伏;Bow;ふく;ふ
1571;累;Accumulate;るい;None
1572;卸;Wholesale;しゃ;おろし, おろ
1573;鯨;Whale;げい;くじら
1574;荘;Villa;そう, しょう, ちゃん;あごそ, ほうき
1575;痴;Stupid;ち;おろか, し
1576;茎;Stem;きょう, けい;くき
1577;粛;Solemn;しゅく, すく;つつし
1578;鎌;Sickle;けん, れん;かま
1579;呆;Shock;ほう;あき, おろか, ほけ, ぼ
1580;酬;Repay;しゅう, しゅ, とう;むく
1581;茜;Red Dye;せん;あかね
1582;疾;Rapidly;しつ;はや
1583;傲;Proud;ごう;あなど, おご
1584;呈;Present;てい;None
1585;践;Practice;せん;ふ
1586;栽;Planting;さい;None
1587;哺;Nurse;ほ;ほぐく, ふく
1588;謡;Noh Chanting;よう;うた
1589;疎;Neglect;そ, しょ;うと, まば
1590;勲;Merit;くん;いさお
1591;悠;Leisure;ゆう;None
1592;拐;Kidnap;かい;None
1593;尚;Furthermore;しょう;なお
1594;愚;Foolish;ぐ;おろ
1595;阿;Flatter;あ, お;おもね, くま
1596;紋;Family Crest;もん;None
1597;逸;Deviate;いつ;そ, はぐ
1598;叙;Describe;じょ;つい, ついで
1599;酷;Cruel;こく;ひど
1600;冠;Crown;かん;かんむり
1601;欄;Column;らん;てすり
1602;栞;Bookmark;かん;しおり
1603;杏;Apricot;あん, きょう, こう;あんず
1604;顕;Appear;けん;あきらか, あらわ
1605;且;Also;しょ, しょう, そ;か
1606;庶;All;しょ;None
1607;寛;Tolerance;かん;くつろ
1608;剰;Surplus;じょう;あまつさえ, あま
1609;駿;Speed;しゅん, すん;すぐ
1610;壌;Soil;じょう;つち
1611;舗;Shop;ほ;None
1612;准;Semi;じゅん;None
1613;緋;Scarlet;ひ;あか, あけ
1614;丹;Rust Colored;たん;に
1615;艇;Rowboat;てい;None
1616;戴;Receive;たい;いただ
1617;虐;Oppress;ぎゃく;しいた
1618;瓜;Melon;か, け;うり
1619;緯;Latitude;い;ぬき, よこいと
1620;莉;Jasmine;り, れい, らい;None
1621;据;Install;きょ;す
1622;騰;Inflation;とう;あが, のぼ
1623;葵;Hollyhock;き;あおい
1624;徐;Gently;じょ;おもむ
1625;繊;Fiber;せん;None
1626;披;Expose;ひ;None
1627;啓;Enlighten;けい;さと, ひら
1628;稿;Draft;こう;したがき, わら
1629;惨;Disaster;さん, ざん;みじ, いた, むご
1630;曙;Dawn;しょ;あけぼの
1631;蒙;Darkness;もう, ぼう;おお, くら, こうむ
1632;諒;Comprehend;りょう;あきら, まことに
1633;帥;Commander;すい;None
1634;浄;Cleanse;じょう, せい;きよ
1635;胞;Cell;ほう;None
