id;character;meaning;on;kun
197;夫;Husband;ふう, ふ;おっと
198;丈;Height;じょう;たけ
199;英;England;えい;None
200;区;District;く;None
201;司;Director;し;つかさど
202;泣;Cry;きゅう;な
203;勇;Courage;ゆう;いさ
204;築;Construct;ちく;きず
205;晴;Clear Up;せい;は
206;変;Change;へん;か
207;猫;Cat;None;ねこ
208;建;Build;けん;た
209;仏;Buddha;ぶつ;ほとけ
210;岩;Boulder;がん;いわ
211;信;Believe;しん;None
212;秋;Autumn;None;あき
213;軍;Army;ぐん;None
214;紀;Account;き;None
215;希;Wish;き;まれ
216;念;Thought;ねん;None
217;的;Target;てき;まと
218;囲;Surround;い;かこ
219;頑;Stubborn;がん;None
220;格;Status;かく;None
221;技;Skill;ぎ;わざ
222;季;Seasons;き;None
223;残;Remainder;ざん;のこ
224;約;Promise;やく;None
225;松;Pine;しょう;まつ
226;完;Perfect;かん;None
227;参;Participate;さん, しん;まい
228;材;Lumber;ざい;None
229;望;Hope;ぼう;のぞ
230;固;Hard;こ;かた
231;卒;Graduate;そつ;None
232;妥;Gentle;だ;None
233;性;Gender;せい, しょう;None
234;基;Foundation;き;もと
235;折;Fold;せつ;お
236;例;Example;れい;たと
237;協;Cooperation;きょう;None
238;周;Circumference;しゅう;まわ
239;束;Bundle;そく;たば
240;骨;Bone;こつ;ほね
241;雰;Atmosphere;ふん;None
242;術;Art;じゅつ;None
243;芸;Acting;げい;None
244;能;Ability;のう;None
245;輪;Wheel;りん;わ
246;題;Topic;だい;None
247;像;Statue;ぞう;None
248;駅;Station;えき;None
249;銀;Silver;ぎん;None
250;標;Signpost;ひょう;しるし
251;課;Section;か;None
252;士;Samurai;し;さむらい
253;願;Request;がん;ねが, ねがい
254;映;Reflect;えい;うつ, は
255;館;Public Building;かん;None
256;問;Problem;もん;と, とん
257;賞;Prize;しょう;None
258;練;Practice;れん;ね
259;詩;Poem;し;うた
260;然;Nature;ぜん, ねん;しか, さ
261;鏡;Mirror;きょう;かがみ
262;福;Luck;ふく;None
263;宿;Lodge;しゅく;やど
264;殺;Kill;さつ;ころ
265;億;Hundred Million;おく;None
266;熱;Heat;ねつ;あつ
267;緑;Green;りょく;みどり
268;養;Foster;よう;やしな
269;様;Formal Name Title;よう;さま
270;情;Feeling;じょう;なさけ
271;感;Feeling;かん;None
272;料;Fee;りょう;None
273;疑;Doubt;ぎ;うたが
274;暗;Dark;あん;くら, くれ
275;器;Container;き;うつわ
276;想;Concept;そう;None
277;選;Choose;せん;えら
278;橋;Bridge;きょう;はし
279;整;Arrange;せい;ととの
280;謝;Apologize;しゃ;あやま
281;皆;All;かい;みな, みんな
282;着;Wear;ちゃく;き, つ
283;温;Warm;おん;あたた
284;待;Wait;たい;ま
285;旅;Trip;りょ;たび
286;族;Tribe;ぞく;None
287;歯;Tooth;し;は
288;陽;Sunshine;よう;ひ
289;合;Suit;ごう, がっ;あ, あい
290;流;Stream;りゅう, る;なが
291;泉;Spring;せん;いずみ
292;球;Sphere;きゅう;たま
293;短;Short;たん;みじか
294;根;Root;こん;ね
295;植;Plant;しょく;う
296;期;Period Of Time;き;None
