,character,kun,meaning,on
197,夫,おっと,Husband,ふう  ふ
198,丈,たけ,Height,じょう
199,英,None,England,えい
200,区,None,District,く
201,司,つかさど,Director,し
202,泣,な,Cry,きゅう
203,勇,いさ,Courage,ゆう
204,築,きず,Construct,ちく
205,晴,は,Clear Up,せい
206,変,か,Change,へん
207,猫,ねこ,Cat,None
208,建,た,Build,けん
209,仏,ほとけ,Buddha,ぶつ
210,岩,いわ,Boulder,がん
211,信,None,Believe,しん
212,秋,あき,Autumn,None
213,軍,None,Army,ぐん
214,紀,None,Account,き
215,希,まれ,Wish,き
216,念,None,Thought,ねん
217,的,まと,Target,てき
218,囲,かこ,Surround,い
219,頑,None,Stubborn,がん
220,格,None,Status,かく
221,技,わざ,Skill,ぎ
222,季,None,Seasons,き
223,残,のこ,Remainder,ざん
224,約,None,Promise,やく
225,松,まつ,Pine,しょう
226,完,None,Perfect,かん
227,参,まい,Participate,さん  しん
228,材,None,Lumber,ざい
229,望,のぞ,Hope,ぼう
230,固,かた,Hard,こ
231,卒,None,Graduate,そつ
232,妥,None,Gentle,だ
233,性,None,Gender,せい  しょう
234,基,もと,Foundation,き
235,折,お,Fold,せつ
236,例,たと,Example,れい
237,協,None,Cooperation,きょう
238,周,まわ,Circumference,しゅう
239,束,たば,Bundle,そく
240,骨,ほね,Bone,こつ
241,雰,None,Atmosphere,ふん
242,術,None,Art,じゅつ
243,芸,None,Acting,げい
244,能,None,Ability,のう
245,輪,わ,Wheel,りん
246,題,None,Topic,だい
247,像,None,Statue,ぞう
248,駅,None,Station,えき
249,銀,None,Silver,ぎん
250,標,しるし,Signpost,ひょう
251,課,None,Section,か
252,士,さむらい,Samurai,し
253,願,ねが  ねがい,Request,がん
254,映,うつ  は,Reflect,えい
255,館,None,Public Building,かん
256,問,と  とん,Problem,もん
257,賞,None,Prize,しょう
258,練,ね,Practice,れん
259,詩,うた,Poem,し
260,然,しか  さ,Nature,ぜん  ねん
261,鏡,かがみ,Mirror,きょう
262,福,None,Luck,ふく
263,宿,やど,Lodge,しゅく
264,殺,ころ,Kill,さつ
265,億,None,Hundred Million,おく
266,熱,あつ,Heat,ねつ
267,緑,みどり,Green,りょく
268,養,やしな,Foster,よう
269,様,さま,Formal Name Title,よう
270,情,なさけ,Feeling,じょう
271,感,None,Feeling,かん
272,料,None,Fee,りょう
273,疑,うたが,Doubt,ぎ
274,暗,くら  くれ,Dark,あん
275,器,うつわ,Container,き
276,想,None,Concept,そう
277,選,えら,Choose,せん
278,橋,はし,Bridge,きょう
279,整,ととの,Arrange,せい
280,謝,あやま,Apologize,しゃ
281,皆,みな  みんな,All,かい
282,着,き  つ,Wear,ちゃく
283,温,あたた,Warm,おん
284,待,ま,Wait,たい
285,旅,たび,Trip,りょ
286,族,None,Tribe,ぞく
287,歯,は,Tooth,し
288,陽,ひ,Sunshine,よう
289,合,あ  あい,Suit,ごう  がっ
290,流,なが,Stream,りゅう  る
291,泉,いずみ,Spring,せん
292,球,たま,Sphere,きゅう
293,短,みじか,Short,たん
294,根,ね,Root,こん
295,植,う,Plant,しょく
296,期,None,Period Of Time,き
297,第,None,Ordinal Number Prefix,だい
298,動,うご,Move,どう
299,都,みやこ,Metropolis,と  つ
300,商,あきな,Merchandise,しょう
301,員,None,Member,いん
302,童,None,Juvenile,どう
303,島,しま,Island,とう
304,僕,None,I,ぼく
305,湯,ゆ,Hot Water,とう
306,暑,あつ,Hot,しょ
307,港,みなと,Harbor,こう
308,庭,にわ,Garden,てい
309,階,None,Floor,かい
310,野,の,Field,や
311,祭,まつり  まつ,Festival,さい
312,消,き  け,Extinguish,しょう
313,勉,None,Exertion,べん
314,倍,None,Double,ばい
315,深,ふか,Deep,しん
316,寒,さむ,Cold,かん
317,登,のぼ,Climb,とう  と
318,章,None,Chapter,しょう
319,息,いき,Breath,そく
320,悪,わる,Bad,あく  お
321,働,はたら,Work,どう
322,洋,None,Western Style,よう
323,波,なみ,Wave,は
324,戦,たたか,War,せん
325,伝,つた  つて,Transmit,でん
326,努,つと,Toil,ど
327,共,とも,Together,きょう
328,特,None,Special,とく
329,別,わか,Separate,べつ
330,秒,None,Second,びょう
331,放,はな  ほう,Release,ほう
